id,productsCount,orderPrice,buyer,buyerCity,orderStatus,shippingPrice,orderDate,orderTime,type,buyerSatisfaction
1,3,65.97,Aurimas E.,Druskininkai,pristatytas,2.99,2020-02-14,9:18,parduotuvėje,
2,5,54.95,Jolanta T.,Švenčionys,pristatytas,2.99,2020-05-31,13:33,internetu,5.0
3,5,189.95,Kazimieras N.,Šilutė,pristatytas,4.99,2015-01-27,15:2,internetu,5.0
4,3,41.97,Vilma Z.,Visaginas,naujas,9.99,2021-03-24,12:38,internetu,
5,5,42.95,Gintautas X.,Ukmergė,pristatytas,4.99,2021-04-15,12:14,internetu,5.0
6,1,49.99,Giedrius T.,Kalvarija,pristatytas,2.99,2023-02-20,12:26,parduotuvėje,4.0
7,2,11.98,Aldona P.,Zarasai,naujas,9.99,2015-11-29,15:36,parduotuvėje,5.0
8,1,49.99,Rita U.,Kėdainiai,išsiųstas,9.99,2019-02-08,12:25,internetu,2.0
9,3,25.97,Marius R.,Prienai,atšauktas,4.99,2015-08-30,8:40,internetu,3.0
10,4,78.96,Aurimas M.,Radviliškis,pristatytas,2.99,2017-10-18,15:44,internetu,1.0
11,1,49.99,Jolanta Y.,Kėdainiai,pristatytas,2.99,2023-08-16,9:25,internetu,5.0
12,4,53.96,Vytautas U.,Trakai,pristatytas,0.0,2015-09-17,14:12,internetu,4.0
13,4,30.96,Jonas B.,Švenčionys,pristatytas,2.99,2022-08-23,8:15,internetu,4.0
14,1,29.99,Viktorija A.,Zarasai,pristatytas,0.0,2014-12-07,14:3,parduotuvėje,3.0
15,1,7.99,Rasa P.,Kėdainiai,pristatytas,9.99,2018-12-02,11:24,internetu,1.0
16,2,39.98,Vilma P.,Trakai,pristatytas,9.99,2015-06-01,8:10,internetu,5.0
17,3,65.97,Aldona E.,Švenčionys,pristatytas,0.0,2023-07-31,12:45,internetu,5.0
18,4,47.96,Jurgis K.,Vilnius,pristatytas,2.99,2017-06-15,12:53,parduotuvėje,5.0
19,5,46.95,Elžbieta B.,Palanga,išsiųstas,19.99,2015-09-07,8:54,internetu,4.0
20,1,49.99,Laima F.,Šilutė,pristatytas,2.99,2016-08-07,10:59,parduotuvėje,5.0
21,2,35.98,Marius F.,Kretinga,atšauktas,2.99,2014-10-16,12:35,internetu,3.0
22,2,17.98,Jolanta D.,Zarasai,pristatytas,2.99,2023-03-20,9:41,internetu,3.0
23,4,31.96,Marius O.,Kybartai,pristatytas,4.99,2018-01-13,15:10,internetu,5.0
24,2,19.98,Inga O.,Kėdainiai,pristatytas,19.99,2023-01-11,13:35,internetu,5.0
25,3,32.97,Vitalijus M.,Raseiniai,pristatytas,2.99,2016-08-31,9:27,parduotuvėje,4.0
26,5,36.95,Ona J.,Klaipėda,pristatytas,2.99,2015-01-08,12:18,internetu,4.0
27,5,42.95,Aurimas P.,Prienai,pristatytas,19.99,2017-10-21,13:56,internetu,3.0
28,2,37.98,Jurgis S.,Šilutė,pristatytas,2.99,2022-07-05,13:47,parduotuvėje,5.0
29,3,69.97,Kazimieras M.,Kaišiadorys,naujas,2.99,2016-11-24,9:49,internetu,1.0
30,4,25.96,Asta J.,Zarasai,pristatytas,2.99,2015-08-17,13:52,internetu,3.0
31,1,14.99,Marius C.,Kybartai,pristatytas,2.99,2022-03-21,14:42,internetu,5.0
32,3,29.97,Vaidas R.,Šilutė,pristatytas,2.99,2023-07-18,10:2,internetu,4.0
33,3,23.97,Marius F.,Varėna,pristatytas,2.99,2015-09-27,13:23,internetu,5.0
34,3,69.97,Vaidas J.,Šilutė,naujas,0.0,2020-01-24,14:7,internetu,2.0
35,1,29.99,Dalia M.,Druskininkai,pristatytas,0.0,2024-01-22,8:45,internetu,2.0
36,1,5.99,Viktorija V.,Grigiškės,pristatytas,19.99,2015-02-01,12:40,parduotuvėje,3.0
37,4,35.96,Vilma K.,Zarasai,pristatytas,9.99,2019-11-03,8:18,internetu,3.0
38,4,77.96,Vitalijus H.,Marijampolė,atšauktas,0.0,2021-05-22,10:24,internetu,1.0
39,4,34.96,Giedrė R.,Kėdainiai,pristatytas,9.99,2022-12-29,10:13,parduotuvėje,
40,3,85.97,Gintautas K.,Kazlų Rūda,pristatytas,2.99,2022-01-19,11:39,parduotuvėje,5.0
41,5,87.95,Aurimas V.,Joniškis,atšauktas,2.99,2018-03-05,8:47,internetu,1.0
42,2,55.98,Gintautas J.,Kazlų Rūda,naujas,4.99,2014-11-28,15:11,internetu,4.0
43,2,59.98,Vilma I.,Pabradė,pristatytas,4.99,2020-03-14,10:17,internetu,5.0
44,1,9.99,Jolanta R.,Trakai,pristatytas,0.0,2021-11-21,14:30,internetu,3.0
45,5,51.95,Jonas A.,Joniškis,pristatytas,9.99,2018-04-12,14:13,internetu,5.0
46,4,90.96,Jolanta U.,Kupiškis,pristatytas,2.99,2017-05-08,9:48,internetu,5.0
47,2,15.98,Gintautas G.,Kėdainiai,išsiųstas,0.0,2017-05-09,8:43,internetu,5.0
48,1,49.99,Gintautas C.,Plungė,pristatytas,2.99,2016-09-19,13:40,internetu,4.0
49,2,54.98,Gintarė Z.,Rokiškis,pristatytas,19.99,2024-03-17,9:1,internetu,4.0
50,5,104.95,Giedrė W.,Grigiškės,pristatytas,4.99,2019-01-16,12:17,parduotuvėje,3.0
51,4,71.96,Aurimas C.,Šilutė,pristatytas,9.99,2020-01-17,11:58,internetu,4.0
52,2,29.98,Marius Z.,Kaišiadorys,pristatytas,2.99,2018-06-29,12:38,internetu,3.0
53,3,69.97,Elžbieta J.,Kaišiadorys,pristatytas,4.99,2020-03-07,13:28,internetu,5.0
54,2,64.98,Ona C.,Kaišiadorys,pristatytas,9.99,2022-02-10,13:24,parduotuvėje,3.0
55,5,149.95,Vitalijus F.,Utena,pristatytas,2.99,2024-02-09,15:40,internetu,5.0
56,4,38.96,Giedrė W.,Kaišiadorys,pristatytas,2.99,2023-09-03,12:56,parduotuvėje,5.0
57,1,7.99,Elžbieta A.,Utena,pristatytas,0.0,2015-06-19,8:49,internetu,3.0
58,4,79.96,Marius U.,Kėdainiai,naujas,4.99,2020-08-13,8:51,internetu,5.0
59,4,59.96,Jurgis F.,Šilutė,pristatytas,4.99,2022-09-24,10:11,internetu,5.0
60,2,15.98,Rasa E.,Elektrėnai,patvirtintas,2.99,2022-02-21,9:7,internetu,5.0
61,5,33.95,Viktorija E.,Raseiniai,pristatytas,2.99,2017-04-11,14:31,parduotuvėje,4.0
62,5,110.95,Jolanta O.,Varėna,išsiųstas,2.99,2022-09-11,11:40,internetu,5.0
63,5,152.95,Aidas N.,Zarasai,pristatytas,2.99,2024-06-06,11:18,internetu,4.0
64,3,21.97,Aidas Q.,Zarasai,patvirtintas,2.99,2018-11-12,12:4,internetu,
65,3,87.97,Ona J.,Trakai,pristatytas,2.99,2015-08-26,8:37,internetu,3.0
66,2,59.98,Vytautas F.,Kėdainiai,naujas,0.0,2023-11-18,13:5,internetu,4.0
67,5,72.95,Inga F.,Visaginas,pristatytas,9.99,2020-06-26,13:51,internetu,5.0
68,3,43.97,Jolanta R.,Neringa,pristatytas,19.99,2024-06-06,15:52,parduotuvėje,5.0
69,4,42.96,Aurimas E.,Grigiškės,patvirtintas,0.0,2016-07-02,8:44,internetu,4.0
70,2,10.98,Kazimieras H.,Šilutė,pristatytas,9.99,2019-01-02,8:55,parduotuvėje,5.0
71,1,5.99,Kazimieras C.,Joniškis,pristatytas,2.99,2015-06-24,8:44,parduotuvėje,3.0
72,2,10.98,Viktorija I.,Kaišiadorys,pristatytas,2.99,2016-10-05,13:9,internetu,1.0
73,5,94.95,Ona J.,Grigiškės,pristatytas,4.99,2018-08-08,12:4,internetu,2.0
74,4,39.96,Marius K.,Trakai,naujas,2.99,2017-01-27,12:19,internetu,5.0
75,5,62.95,Viktorija F.,Kėdainiai,pristatytas,2.99,2022-02-17,11:7,parduotuvėje,5.0
76,5,55.95,Vaida M.,Kaišiadorys,atšauktas,0.0,2022-08-27,13:45,parduotuvėje,2.0
77,5,134.95,Dalia N.,Šilutė,atšauktas,0.0,2017-02-21,11:54,internetu,2.0
78,5,104.95,Aidas J.,Kėdainiai,atšauktas,0.0,2015-08-07,11:22,internetu,
79,2,24.98,Ona V.,Trakai,pristatytas,0.0,2022-05-07,14:7,parduotuvėje,1.0
80,4,31.96,Aurimas S.,Marijampolė,pristatytas,2.99,2016-05-10,10:18,internetu,4.0
81,3,69.97,Rita V.,Kaunas,išsiųstas,19.99,2018-12-14,13:42,internetu,3.0
82,3,107.97,Rita T.,Klaipėda,pristatytas,0.0,2024-04-15,15:4,internetu,5.0
83,4,76.96,Marius A.,Šilutė,patvirtintas,0.0,2017-08-25,9:17,parduotuvėje,5.0
84,4,57.96,Rasa Z.,Varėna,pristatytas,2.99,2018-10-01,10:56,internetu,5.0
85,2,11.98,Laima G.,Lazdijai,atšauktas,2.99,2014-11-15,12:57,internetu,4.0
86,4,60.96,Viktorija X.,Zarasai,pristatytas,2.99,2019-02-19,14:3,internetu,3.0
87,4,114.96,Rimantas M.,Utena,pristatytas,4.99,2017-07-07,15:16,internetu,5.0
88,4,75.96,Aurimas Z.,Šilutė,pristatytas,4.99,2021-07-09,15:45,internetu,4.0
89,3,65.97,Vytautas P.,Telšiai,naujas,2.99,2023-04-23,8:54,internetu,4.0
90,3,24.97,Marius S.,Ignalina,naujas,4.99,2024-06-02,10:3,parduotuvėje,3.0
91,2,24.98,Aurimas B.,Šiauliai,pristatytas,4.99,2017-12-29,12:43,parduotuvėje,3.0
92,1,49.99,Antanas Z.,Kalvarija,pristatytas,2.99,2015-02-22,8:52,internetu,2.0
93,2,35.98,Ona J.,Plungė,pristatytas,2.99,2019-12-21,12:41,parduotuvėje,4.0
94,2,19.98,Aidas E.,Kaišiadorys,pristatytas,9.99,2015-07-15,9:20,internetu,3.0
95,4,32.96,Inga I.,Širvintos,pristatytas,2.99,2020-04-01,12:23,internetu,3.0
96,5,127.95,Laima K.,Ignalina,išsiųstas,2.99,2016-01-16,10:27,parduotuvėje,
97,1,4.99,Marius C.,Alytus,pristatytas,0.0,2023-12-13,9:40,internetu,4.0
